Probe,Gene,logFC
207028_at,H1-8,-1.505716323550381
1569991_at,Unknown,-1.5053167908494587
34225_at,MYOZ3,-1.505140172607512
1557919_a_at,MYOZ3,-1.504933858121587
1552468_a_at,BNIPL,-1.5044949652143194
232513_x_at,NA,-1.5031876915197122
1559228_at,SDR9C7,-1.5019633728869837
207463_x_at,OR5P3,-1.5016245724530597
242178_at,CRYGN,-1.5008400541551945
234537_at,C11orf40,-1.4999175534135953
1568590_at,TAC4,-1.4990175139726838
205563_at,DSG2,-1.498466824158276
1558045_a_at,PTK6,-1.4973928729498507
234425_at,THEM4,-1.4970870287167029
217345_at,CLSPN,-1.4970625853933566
238583_at,RBAK,-1.4970565952767196
224300_x_at,SLC39A12,-1.4964873038000446
215484_at,NA,-1.495565273461289
1553094_at,C9orf72,-1.4944281502813994
1569502_s_at,KLF11,-1.4937865122025487
237397_at,"LACC1, NA",-1.4928119062854395
226082_s_at,Unknown,-1.4927237553006942
206435_at,RANBP3L,-1.491765614991129
206745_at,SNX13,-1.4917187781073245
221408_x_at,KDM1B,-1.4916454800561771
1562239_at,ATP6V0D2,-1.4914014278996472
213583_x_at,ATP6V0D2,-1.4911166846405646
234403_at,ADPRHL1,-1.4900030282942216
219915_s_at,LRRN4,-1.4892947229693458
1557656_at,LRRN4,-1.4892762707765936
217107_at,ZNF777,-1.4892503174250094
209134_s_at,JPH2,-1.4890037607045998
1558787_a_at,ADAMTS19,-1.488244939051775
237694_at,ADAMTS19,-1.4880147921248357
1561269_at,Unknown,-1.487339271939577
202881_x_at,Unknown,-1.487250444594953
231378_at,PARD3B,-1.48723623497032
1552295_a_at,NEGR1,-1.4865859472083134
200943_at,DCAF4L2,-1.4863184502709763
1570480_s_at,STOX1,-1.4860715185595712
242589_x_at,CRMA,-1.4859797980847025
229887_at,KRT78,-1.4855905360567125
229365_at,FAM117B,-1.4836400676848205
1566501_at,OXER1,-1.4829915157068951
206372_at,LUZP1,-1.4828055106257165
206971_at,BRWD1,-1.4826195336480148
