Probe,Gene,logFC
220682_s_at,"NA, TUBA3FP",1.568316631344039
228530_at,CARD16,1.5678127292661919
219508_at,"CASP1, CARD16",1.566924449125969
213550_s_at,DUSP19,1.566600109460617
217780_at,"CYB5D1, NA",1.5658117057415346
212625_at,NMNAT2,1.565413132791359
203391_at,SLC4A1,1.5653942403218954
201198_s_at,CREG2,1.5651823778727925
219822_at,RXFP1,1.5651420647008638
234347_s_at,GOLM2,1.564191045624489
217524_x_at,ARPP21,1.5636499408927091
236606_at,ADAMTS17,1.5632090528499283
219819_s_at,ADAMTS17,1.5631430601415859
241287_x_at,"SNORA17B, SNORA17A, NA, SNHG7",1.5631328508331594
227018_at,ABRA,1.5628601402901694
218011_at,ABRA,1.5628207666724157
215647_at,KLHDC1,1.5627545923778936
223146_at,NETO1,1.5620750592449495
204084_s_at,ST7L,1.5578520004102745
215741_x_at,C2orf15,1.5577429724718146
204616_at,PP2D1,1.5569416259289726
1563389_at,CIB3,1.5560429199669634
224298_s_at,CIB3,1.5559898780777905
237907_at,CADM2,1.5555160275734607
242295_at,HDAC9,1.5538419815494513
215045_at,HDAC9,1.5536958590351828
227602_at,TMEM67,1.5533131621764447
225554_s_at,HS6ST2,1.5532218643180493
202146_at,HS6ST2,1.5531843936672984
230879_at,Unknown,1.5519850636823136
32091_at,CLEC4D,1.5517340788305265
230699_at,CLEC4D,1.5513582453067314
212858_at,SLC25A27,1.5511060708193556
218310_at,SLC44A5,1.550578392019655
1555623_at,ZNF781,1.5499607957136878
213945_s_at,HELB,1.5496540317847374
226006_at,TRDN,1.5490431011519339
224025_s_at,SOCS4,1.5489626589460685
235116_at,LY6S-AS1,1.5488302866854375
213863_s_at,ZNF547,1.5486768737792742
201025_at,SIM1,1.5481842668324948
204974_at,PROM2,1.5476487018769336
1555495_a_at,TLR4,1.5476465885487196
227627_at,ABHD11,1.54741243634084
229744_at,TIRAP,1.5467760442434013
223590_at,ADAMTSL1,1.5459769179838445
224396_s_at,RFX4,1.5459076365837647
205582_s_at,SENP1,1.545608565340944
227160_s_at,KLF14,1.5455858288069608
218243_at,BRS3,1.5448934095553917
1569810_at,Unknown,1.5448628423227542
212108_at,TMX3,1.5446187410098402
201967_at,SLC26A7,1.5440996752447567
218462_at,Unknown,1.543695538193959
208805_at,FBXO39,1.543544379935136
225772_s_at,DENND1B,1.542637596818061
212522_at,Unknown,1.542345740295173
219950_s_at,CLDN15,1.541229886233529
